Filename,Name,Extension,Date
1757132_stis_002.fits,1757132,_stis_002,2015-01-06T17:00:19
1757132_stis_003.fits,1757132,_stis_003,2015-01-05T21:02:37
1757132_stis_004.fits,1757132,_stis_004,13-Feb-2017
1757132_stiswfc_001.fits,1757132,_stiswfc_001,17-Jan-2019
1757132_stiswfc_002.fits,1757132,_stiswfc_002,21-Mar-2020
1757132_stiswfc_003.fits,1757132,_stiswfc_003,2-Mar-2021
1757132_stiswfc_004.fits,1757132,_stiswfc_004,16-Feb-2023
1802271_mod_001.fits,1802271,_mod_001,13-Feb-2017
1802271_mod_002.fits,1802271,_mod_002,3-Aug-2017
1802271_mod_003.fits,1802271,_mod_003,17-Jan-2019
1802271_mod_004.fits,1802271,_mod_004,23-Mar-2020
1802271_mod_005.fits,1802271,_mod_005,16-Feb-2023
1802271_nic_002.fits,1802271,_nic_002,2015-01-06T17:00:19
1802271_stisnic_001.fits,1802271,_stisnic_001,2013-11-18T19:20:56
1802271_stisnic_002.fits,1802271,_stisnic_002,2015-01-06T17:00:19
1802271_stisnic_003.fits,1802271,_stisnic_003,2015-01-05T21:02:37
1802271_stisnic_004.fits,1802271,_stisnic_004,13-Feb-2017
1802271_stiswfcnic_001.fits,1802271,_stiswfcnic_001,17-Jan-2019
1802271_stiswfcnic_002.fits,1802271,_stiswfcnic_002,21-Mar-2020
1802271_stiswfcnic_003.fits,1802271,_stiswfcnic_003,2-Mar-2021
1802271_stiswfcnic_004.fits,1802271,_stiswfcnic_004,16-Feb-2023
1805292_mod_001.fits,1805292,_mod_001,13-Feb-2017
1805292_mod_002.fits,1805292,_mod_002,3-Aug-2017
1805292_mod_003.fits,1805292,_mod_003,23-Mar-2020
1805292_mod_004.fits,1805292,_mod_004,16-Feb-2023
1805292_nic_001.fits,1805292,_nic_001,2015-01-06T17:00:19
1805292_nic_002.fits,1805292,_nic_002,2015-01-06T17:00:19
1805292_stisnic_001.fits,1805292,_stisnic_001,2013-11-18T19:20:56
1805292_stisnic_002.fits,1805292,_stisnic_002,2015-01-06T17:00:19
1805292_stisnic_003.fits,1805292,_stisnic_003,2015-01-05T21:02:37
